id_bioguide,term_number,term_id,term_type,term_start,term_end,state,district,class,party,how,url,address,phone,fax,contact_form,office,state_rank,rss_url,caucus
C001035,0,C001035-0,sen,1997-01-07,2003-01-03,ME,,2,Republican,,,,,,,,,,
C001056,0,C001056-0,sen,2002-11-30,2003-01-03,TX,,2,Republican,,,,,,,,,,
D000563,0,D000563-0,rep,1983-01-03,1985-01-03,IL,20,,Democrat,,,,,,,,,,
S001194,0,S001194-0,sen,2012-12-27,2015-01-03,HI,,3,Democrat,appointment,http://www.schatz.senate.gov,722 Hart Senate Office Building Washington DC 20510,202-224-3934,202-228-1153,http://www.schatz.senate.gov/contact,722 Hart Senate Office Building,senior,,
E000285,0,E000285-0,sen,1997-01-07,2003-01-03,WY,,2,Republican,,,,,,,,,,
G000359,0,G000359-0,rep,1995-01-04,1997-01-03,SC,3,,Republican,,,,,,,,,,
I000024,0,I000024-0,rep,1987-01-06,1989-01-03,OK,1,,Republican,,,,,,,,,,
M000355,0,M000355-0,sen,1985-01-03,1991-01-03,KY,,2,Republican,,,,,,,,,,
M001176,0,M001176-0,sen,2009-01-06,2015-01-03,OR,,2,Democrat,,http://www.merkley.senate.gov,313 Hart Senate Office Building Washington DC 20510,202-224-3753,202-228-3997,http://www.merkley.senate.gov/contact/,313 Hart Senate Office Building,junior,http://www.merkley.senate.gov/rss/,
R000122,0,R000122-0,rep,1991-01-03,1993-01-03,RI,2,,Democrat,,,,,,,,,,
R000584,0,R000584-0,sen,2009-01-06,2015-01-03,ID,,2,Republican,,http://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,202-224-2573,http://www.risch.senate.gov/public/index.cfm?p=Email,483 Russell Senate Office Building,junior,,
C001110,0,C001110-0,rep,2017-01-03,2019-01-03,CA,46,,Democrat,,https://correa.house.gov,1039 Longworth House Office Building; Washington DC 20515-0546,202-225-2965,,,1039 Longworth House Office Building,,,
R000307,0,R000307-0,rep,1981-01-05,1983-01-03,KS,1,,Republican,,,,,,,,,,
S001181,0,S001181-0,sen,2009-01-06,2015-01-03,NH,,2,Democrat,,http://www.shaheen.senate.gov,520 Hart Senate Office Building Washington DC 20510,202-224-2841,202-228-3194,http://www.shaheen.senate.gov/contact/,520 Hart Senate Office Building,senior,http://www.shaheen.senate.gov/rss/,
U000039,0,U000039-0,rep,1999-01-06,2001-01-03,NM,3,,Democrat,,,,,,,,,,
W000805,0,W000805-0,sen,2009-01-06,2015-01-03,VA,,2,Democrat,,http://www.warner.senate.gov,475 Russell Senate Office Building Washington DC 20510,202-224-2023,202-224-6295,http://www.warner.senate.gov/public//index.cfm?p=ContactPage#form_f9db6196-2dc7-4cda-8add-f8435a71318a,475 Russell Senate Office Building,senior,http://www.warner.senate.gov/public/?a=rss.feed,
G000555,0,G000555-0,rep,2007-01-04,2009-01-03,NY,20,,Democrat,,http://gillibrand.house.gov,,,,,,,,
C001088,0,C001088-0,sen,2010-11-15,2015-01-03,DE,,2,Democrat,,http://www.coons.senate.gov,127A Russell Senate Office Building Washington DC 20510,202-224-5042,202-228-3075,http://www.coons.senate.gov/contact/,127a Russell Senate Office Building,junior,http://www.coons.senate.gov/rss/feeds/?type=all,
M001183,0,M001183-0,sen,2010-11-15,2013-01-03,WV,,1,Democrat,,http://manchin.senate.gov/,303 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3954,,http://www.manchin.senate.gov/contact_form.cfm,303 Hart Senate Office Building,,,
L000582,0,L000582-0,rep,2015-01-06,2017-01-03,CA,33,,Democrat,,https://lieu.house.gov,415 Cannon HOB; Washington DC 20515-0533,202-225-3976,202-225-4099,,415 Cannon House Office Building,,,
A000055,0,A000055-0,rep,1997-01-07,1999-01-03,AL,4,,Republican,,,,,,,,,,
A000367,0,A000367-0,rep,2011-01-05,2013-01-03,MI,3,,Republican,,http://amash.house.gov/,114 Cannon HOB; Washington DC 20515-2203,202-225-3831,202-225-5144,,114 Cannon House Office Building,,,
B001230,0,B001230-0,rep,1999-01-06,2001-01-03,WI,2,,Democrat,,,,,,,,,,
B001270,0,B001270-0,rep,2011-01-05,2013-01-03,CA,33,,Democrat,,http://karenbass.house.gov/,408 Cannon HOB; Washington DC 20515-0533,202-225-7084,202-225-2422,,408 Cannon House Office Building,,,
B001267,0,B001267-0,sen,2009-01-22,2011-01-03,CO,,3,Democrat,appointment,http://bennet.senate.gov/,,,,,,,,
C001094,0,C001094-0,rep,2013-01-03,2015-01-03,CA,8,,Republican,,http://cook.house.gov,1222 Longworth HOB; Washington DC 20515-0508,202-225-5861,,https://cook.house.gov/contact/email-me,1222 Longworth House Office Building,,http://cook.house.gov/rss.xml,
B001257,0,B001257-0,rep,2007-01-04,2009-01-03,FL,9,,Republican,,http://bilirakis.house.gov,,,,,,,,
B001250,0,B001250-0,rep,2003-01-07,2005-01-03,UT,1,,Republican,,http://www.house.gov/robbishop,,,,,,,,
B000490,0,B000490-0,rep,1993-01-05,1995-01-03,GA,2,,Democrat,,,,,,,,,,
B001243,0,B001243-0,rep,2003-01-07,2005-01-03,TN,7,,Republican,,http://www.house.gov/blackburn,,,,,,,,
W000779,0,W000779-0,rep,1981-01-05,1983-01-03,OR,3,,Democrat,,,,,,,,,,
S001193,0,S001193-0,rep,2013-01-03,2015-01-03,CA,15,,Democrat,,http://swalwell.house.gov,501 Cannon HOB; Washington DC 20515-0515,202-225-5065,,http://swalwell.house.gov/contact-me/email-eric/,501 Cannon House Office Building,,,
B000574,0,B000574-0,rep,1996-05-21,1997-01-03,OR,3,,Democrat,,,,,,,,,,
B001277,0,B001277-0,sen,2011-01-05,2017-01-03,CT,,3,Democrat,,https://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823,202-224-9673,https://www.blumenthal.senate.gov/contact/,706 Hart Senate Office Building,senior,http://www.blumenthal.senate.gov/rss/feeds/?type=all,
B000575,0,B000575-0,rep,1997-01-07,1999-01-03,MO,7,,Republican,,,,,,,,,,
B001236,0,B001236-0,rep,2001-11-29,2003-01-03,AR,3,,Republican,,,,,,,,,,
B000755,0,B000755-0,rep,1997-01-07,1999-01-03,TX,8,,Republican,,,,,,,,,,
T000474,0,T000474-0,rep,2015-01-06,2017-01-03,CA,35,,Democrat,,https://torres.house.gov,516 Cannon HOB; Washington DC 20515-0535,202-225-6161,202-225-8671,,516 Cannon House Office Building,,,
B001274,0,B001274-0,rep,2011-01-05,2013-01-03,AL,5,,Republican,,http://brooks.house.gov/,1641 Longworth HOB; Washington DC 20515-0105,202-225-4801,202-225-4392,,1641 Longworth House Office Building,,,
B001260,0,B001260-0,rep,2007-01-04,2009-01-03,FL,13,,Republican,,http://buchanan.house.gov,,,,,,,,
B001275,0,B001275-0,rep,2011-01-05,2013-01-03,IN,8,,Republican,,http://bucshon.house.gov/,1123 Longworth HOB; Washington DC 20515-1408,202-225-4636,202-225-3284,,1123 Longworth House Office Building,,,
B001248,0,B001248-0,rep,2003-01-07,2005-01-03,TX,26,,Republican,,http://www.house.gov/burgess,,,,,,,,
B001135,0,B001135-0,rep,1995-01-04,1997-01-03,NC,5,,Republican,,,,,,,,,,
B001303,0,B001303-0,rep,2017-01-03,2019-01-03,DE,0,,Democrat,,https://bluntrochester.house.gov,1123 Longworth House Office Building; Washington DC 20515-0800,202-225-4165,,,1123 Longworth House Office Building,,,
B001251,0,B001251-0,rep,2004-07-21,2005-01-03,NC,1,,Democrat,,http://www.house.gov/butterfield/,,,,,,,,
C000059,0,C000059-0,rep,1993-01-05,1995-01-03,CA,43,,Republican,,,,,,,,,,
C001047,0,C001047-0,rep,2001-01-03,2003-01-03,WV,2,,Republican,,,,,,,,,,
C001072,0,C001072-0,rep,2008-03-13,2009-01-03,IN,7,,Democrat,,http://carson.house.gov/,,,,,,,,
G000565,0,G000565-0,rep,2011-01-05,2013-01-03,AZ,1,,Republican,,http://gosar.house.gov/,504 Cannon HOB; Washington DC 20515-0301,202-225-2315,200-226-9739,,504 Cannon House Office Building,,,
C001051,0,C001051-0,rep,2003-01-07,2005-01-03,TX,31,,Republican,,http://www.house.gov/carter,,,,,,,,
C001075,0,C001075-0,rep,2009-01-06,2011-01-03,LA,6,,Republican,,http://cassidy.house.gov,,,,,,,,
C001066,0,C001066-0,rep,2007-01-04,2009-01-03,FL,11,,Democrat,,http://castor.house.gov,,,,,,,,
C000266,0,C000266-0,rep,1995-01-04,1997-01-03,OH,1,,Republican,,,,,,,,,,
C001080,0,C001080-0,rep,2009-07-16,2011-01-03,CA,32,,Democrat,,http://chu.house.gov/,,,,,,,,
G000586,0,G000586-0,rep,2019-01-03,2021-01-03,IL,4,,Democrat,,https://chuygarcia.house.gov,530 Cannon House Office Building; Washington DC 20515-1304,202-225-8203,,,530 Cannon House Office Building,,,
C001084,0,C001084-0,rep,2011-01-05,2013-01-03,RI,1,,Democrat,,http://cicilline.house.gov/,128 Cannon HOB; Washington DC 20515-3901,202-225-4911,202-225-3290,,128 Cannon House Office Building,,,
C001067,0,C001067-0,rep,2007-01-04,2009-01-03,NY,11,,Democrat,,http://clarke.house.gov,,,,,,,,
C001049,0,C001049-0,rep,2001-01-03,2003-01-03,MO,1,,Democrat,,,,,,,,,,
C001061,0,C001061-0,rep,2005-01-04,2007-01-03,MO,5,,Democrat,,,,,,,,,,
C000537,0,C000537-0,rep,1993-01-05,1995-01-03,SC,6,,Democrat,,,,,,,,,,
C001068,0,C001068-0,rep,2007-01-04,2009-01-03,TN,9,,Democrat,,http://cohen.house.gov,,,,,,,,
C001053,0,C001053-0,rep,2003-01-07,2005-01-03,OK,4,,Republican,,http://www.house.gov/cole,,,,,,,,
C001062,0,C001062-0,rep,2005-01-04,2007-01-03,TX,11,,Republican,,,,,,,,,,
C001078,0,C001078-0,rep,2009-01-06,2011-01-03,VA,11,,Democrat,,http://connolly.house.gov,,,,,,,,
C001063,0,C001063-0,rep,2005-01-04,2007-01-03,TX,28,,Democrat,,,,,,,,,,
C000754,0,C000754-0,rep,1983-01-03,1985-01-03,TN,4,,Democrat,,,,,,,,,,
C001059,0,C001059-0,rep,2005-01-04,2007-01-03,CA,20,,Democrat,,,,,,,,,,
C001069,0,C001069-0,rep,2007-01-04,2009-01-03,CT,2,,Democrat,,http://courtney.house.gov,,,,,,,,
C000880,0,C000880-0,rep,1993-01-05,1995-01-03,ID,2,,Republican,,,,,,,,,,
C001087,0,C001087-0,rep,2011-01-05,2013-01-03,AR,1,,Republican,,http://crawford.house.gov/,1408 Longworth HOB; Washington DC 20515-0401,202-225-4076,202-225-5602,,1408 Longworth House Office Building,,,
C001117,0,C001117-0,rep,2019-01-03,2021-01-03,IL,6,,Democrat,,https://casten.house.gov,429 Cannon House Office Building; Washington DC 20515-1306,202-225-4561,,,429 Cannon House Office Building,,,
D000096,0,D000096-0,rep,1997-01-07,1999-01-03,IL,7,,Democrat,,,,,,,,,,
D000598,0,D000598-0,rep,2001-01-03,2003-01-03,CA,49,,Democrat,,,,,,,,,,
D000191,0,D000191-0,rep,1987-01-06,1989-01-03,OR,4,,Democrat,,,,,,,,,,
D000197,0,D000197-0,rep,1997-01-07,1999-01-03,CO,1,,Democrat,,,,,,,,,,
G000578,0,G000578-0,rep,2017-01-03,2019-01-03,FL,1,,Republican,,https://gaetz.house.gov,507 Cannon House Office Building; Washington DC 20515-0901,202-225-4136,,,507 Cannon House Office Building,,,
D000216,0,D000216-0,rep,1991-01-03,1993-01-03,CT,3,,Democrat,,,,,,,,,,
D000616,0,D000616-0,rep,2011-01-05,2013-01-03,TN,4,,Republican,,http://desjarlais.house.gov/,413 Cannon HOB; Washington DC 20515-4204,202-225-6831,202-226-5172,,413 Cannon House Office Building,,,
D000610,0,D000610-0,rep,2010-04-15,2011-01-03,FL,19,,Democrat,,http://deutch.house.gov/,,,,,,,,
D000600,0,D000600-0,rep,2003-01-07,2005-01-03,FL,25,,Republican,,http://www.house.gov/mariodiaz-balart,,,,,,,,
H001042,0,H001042-0,rep,2007-01-04,2009-01-03,HI,2,,Democrat,,http://hirono.house.gov,,,,,,,,
D000399,0,D000399-0,rep,1995-01-04,1997-01-03,TX,10,,Democrat,,,,,,,,,,
D000482,0,D000482-0,rep,1995-01-04,1997-01-03,PA,18,,Democrat,,,,,,,,,,
D000615,0,D000615-0,rep,2011-01-05,2013-01-03,SC,3,,Republican,,http://jeffduncan.house.gov/,116 Cannon HOB; Washington DC 20515-4003,202-225-5301,202-225-3216,,116 Cannon House Office Building,,,
E000179,0,E000179-0,rep,1989-01-03,1991-01-03,NY,19,,Democrat,,,,,,,,,,
H001061,0,H001061-0,sen,2011-01-05,2017-01-03,ND,,3,Republican,,https://www.hoeven.senate.gov,338 Russell Senate Office Building Washington DC 20510,202-224-2551,202-224-7999,http://www.hoeven.senate.gov/public/index.cfm/email-the-senator,338 Russell Senate Office Building,senior,http://www.hoeven.senate.gov/public/index.cfm/rss/feed,
E000215,0,E000215-0,rep,1993-01-05,1995-01-03,CA,14,,Democrat,,,,,,,,,,
F000459,0,F000459-0,rep,2011-01-05,2013-01-03,TN,3,,Republican,,http://fleischmann.house.gov/,511 Cannon HOB; Washington DC 20515-4203,202-225-3271,202-225-3494,,511 Cannon House Office Building,,,
F000461,0,F000461-0,rep,2011-01-05,2013-01-03,TX,17,,Republican,,http://flores.house.gov/,1505 Longworth HOB; Washington DC 20515-4317,202-225-6105,202-225-0350,,1505 Longworth House Office Building,,,
F000449,0,F000449-0,rep,2005-01-04,2007-01-03,NE,1,,Republican,,,,,,,,,,
G000552,0,G000552-0,rep,2005-01-04,2007-01-03,TX,1,,Republican,,,,,,,,,,
F000450,0,F000450-0,rep,2005-01-04,2007-01-03,NC,5,,Republican,,,,,,,,,,
F000455,0,F000455-0,rep,2008-11-19,2009-01-03,OH,11,,Democrat,,http://fudge.house.gov/,,,,,,,,
G000559,0,G000559-0,rep,2009-11-03,2011-01-03,CA,10,,Democrat,,http://garamendi.house.gov/,,,,,,,,
G000562,0,G000562-0,rep,2011-01-05,2013-01-03,CO,4,,Republican,,http://gardner.house.gov/,213 Cannon HOB; Washington DC 20515-0604,202-225-4676,,,213 Cannon House Office Building,,,
G000563,0,G000563-0,rep,2011-01-05,2013-01-03,OH,18,,Republican,,http://gibbs.house.gov/,329 Cannon HOB; Washington DC 20515-3518,202-225-6265,202-225-3394,,329 Cannon House Office Building,,,
L000577,0,L000577-0,sen,2011-01-05,2017-01-03,UT,,3,Republican,,http://www.lee.senate.gov,361A Russell Senate Office Building Washington DC 20510,202-224-5444,,http://www.lee.senate.gov/public/index.cfm/contact,361a Russell Senate Office Building,junior,http://www.lee.senate.gov/public/index.cfm/rss/feed,
G000377,0,G000377-0,rep,1997-01-07,1999-01-03,TX,12,,Republican,,,,,,,,,,
G000386,0,G000386-0,rep,1975-01-14,1977-01-03,IA,3,,Republican,,,,,,,,,,
G000546,0,G000546-0,rep,2001-01-03,2003-01-03,MO,6,,Republican,,,,,,,,,,
G000560,0,G000560-0,rep,2010-06-08,2011-01-03,GA,9,,Republican,,http://tomgraves.house.gov/,,,,,,,,
G000553,0,G000553-0,rep,2005-01-04,2007-01-03,TX,9,,Democrat,,,,,,,,,,
G000568,0,G000568-0,rep,2011-01-05,2013-01-03,VA,9,,Republican,,http://morgangriffith.house.gov/,1108 Longworth HOB; Washington DC 20515-4609,202-225-3861,202-225-0076,,1108 Longworth House Office Building,,,
G000551,0,G000551-0,rep,2003-01-07,2005-01-03,AZ,7,,Democrat,,http://www.house.gov/grijalva,,,,,,,,
G000558,0,G000558-0,rep,2009-01-06,2011-01-03,KY,2,,Republican,,http://guthrie.house.gov,,,,,,,,
H001052,0,H001052-0,rep,2011-01-05,2013-01-03,MD,1,,Republican,,http://harris.house.gov/,506 Cannon HOB; Washington DC 20515-2001,202-225-5311,202-225-0254,,506 Cannon House Office Building,,,
H001053,0,H001053-0,rep,2011-01-05,2013-01-03,MO,4,,Republican,,http://hartzler.house.gov/,1023 Longworth HOB; Washington DC 20515-2504,202-225-2876,202-225-2695,,1023 Longworth House Office Building,,,
U000040,0,U000040-0,rep,2019-01-03,2021-01-03,IL,14,,Democrat,,https://underwood.house.gov,1118 Longworth House Office Building; Washington DC 20515-1314,202-225-2976,,,1118 Longworth House Office Building,,,
H000324,0,H000324-0,rep,1993-01-05,1995-01-03,FL,23,,Democrat,,,,,,,,,,
H001046,0,H001046-0,rep,2009-01-06,2011-01-03,NM,1,,Democrat,,http://heinrich.house.gov,,,,,,,,
H001056,0,H001056-0,rep,2011-01-05,2013-01-03,WA,3,,Republican,,http://herrerabeutler.house.gov/,1130 Longworth HOB; Washington DC 20515-4703,202-225-3536,202-225-3478,,1130 Longworth House Office Building,,,
H001038,0,H001038-0,rep,2005-01-04,2007-01-03,NY,27,,Democrat,,,,,,,,,,
H001047,0,H001047-0,rep,2009-01-06,2011-01-03,CT,4,,Democrat,,http://himes.house.gov,,,,,,,,
D000628,0,D000628-0,rep,2017-01-03,2019-01-03,FL,2,,Republican,,https://dunn.house.gov,423 Cannon House Office Building; Washington DC 20515-0902,202-225-5235,,,423 Cannon House Office Building,,,
H000874,0,H000874-0,rep,1981-01-05,1983-01-03,MD,5,,Democrat,,,,,,,,,,
H001058,0,H001058-0,rep,2011-01-05,2013-01-03,MI,2,,Republican,,http://huizenga.house.gov/,1217 Longworth HOB; Washington DC 20515-2202,202-225-4401,202-226-0779,,1217 Longworth House Office Building,,,
J000032,0,J000032-0,rep,1995-01-04,1997-01-03,TX,18,,Democrat,,,,,,,,,,
J000292,0,J000292-0,rep,2011-01-05,2013-01-03,OH,6,,Republican,,http://billjohnson.house.gov/,317 Cannon HOB; Washington DC 20515-3506,202-225-5705,202-225-5907,,317 Cannon House Office Building,,,
P000608,0,P000608-0,rep,2013-01-03,2015-01-03,CA,52,,Democrat,,http://scottpeters.house.gov,2410 Rayburn HOB; Washington DC 20515-0552,202-225-0508,202-225-2558,https://scottpeters.house.gov/contact/email-me,2410 Rayburn House Office Building,,http://scottpeters.house.gov/rss.xml,
J000126,0,J000126-0,rep,1993-01-05,1995-01-03,TX,30,,Democrat,,,,,,,,,,
J000288,0,J000288-0,rep,2007-01-04,2009-01-03,GA,4,,Democrat,,http://hankjohnson.house.gov,,,,,,,,
J000293,0,J000293-0,sen,2011-01-05,2017-01-03,WI,,3,Republican,,http://www.ronjohnson.senate.gov,328 Hart Senate Office Building Washington DC 20510,202-224-5323,920-230-7262,http://www.ronjohnson.senate.gov/public/index.cfm/contact,328 Hart Senate Office Building,senior,http://www.ronjohnson.senate.gov/public/index.cfm/rss/feed,
J000289,0,J000289-0,rep,2007-01-04,2009-01-03,OH,4,,Republican,,http://jordan.house.gov,,,,,,,,
K000009,0,K000009-0,rep,1983-01-03,1985-01-03,OH,9,,Democrat,,,,,,,,,,
K000375,0,K000375-0,rep,2011-01-05,2013-01-03,MA,10,,Democrat,,http://keating.house.gov/,315 Cannon HOB; Washington DC 20515-2110,202-225-3111,202-225-5658,,315 Cannon House Office Building,,,
K000376,0,K000376-0,rep,2011-01-05,2013-01-03,PA,3,,Republican,,http://kelly.house.gov/,515 Cannon HOB; Washington DC 20515-3803,202-225-5406,202-225-3103,,515 Cannon House Office Building,,,
K000188,0,K000188-0,rep,1997-01-07,1999-01-03,WI,3,,Democrat,,,,,,,,,,
K000210,0,K000210-0,rep,1993-01-05,1995-01-03,NY,3,,Republican,,,,,,,,,,
L000576,0,L000576-0,rep,2011-01-05,2013-01-03,MO,7,,Republican,,http://long.house.gov/,1541 Longworth HOB; Washington DC 20515-2507,202-225-6536,202-225-5604,,1541 Longworth House Office Building,,,
K000362,0,K000362-0,rep,2003-01-07,2005-01-03,IA,5,,Republican,,http://www.house.gov/steveking,,,,,,,,
K000378,0,K000378-0,rep,2011-01-05,2013-01-03,IL,11,,Republican,,http://kinzinger.house.gov/,1218 Longworth HOB; Washington DC 20515-1311,202-225-3635,202-225-3521,,1218 Longworth House Office Building,,,
L000564,0,L000564-0,rep,2007-01-04,2009-01-03,CO,5,,Republican,,http://lamborn.house.gov,,,,,,,,
L000559,0,L000559-0,rep,2001-01-03,2003-01-03,RI,2,,Democrat,,,,,,,,,,
L000575,0,L000575-0,rep,2011-01-05,2013-01-03,OK,5,,Republican,,http://lankford.house.gov/,509 Cannon HOB; Washington DC 20515-3605,202-225-2132,202-226-1463,,509 Cannon House Office Building,,,
L000560,0,L000560-0,rep,2001-01-03,2003-01-03,WA,2,,Democrat,,,,,,,,,,
L000557,0,L000557-0,rep,1999-01-06,2001-01-03,CT,1,,Democrat,,,,,,,,,,
L000566,0,L000566-0,rep,2007-12-13,2009-01-03,OH,5,,Republican,,http://latta.house.gov/,,,,,,,,
L000174,0,L000174-0,sen,1975-01-14,1981-01-03,VT,,3,Democrat,,,,,,,,,,
L000551,0,L000551-0,rep,1998-04-07,1999-01-03,CA,9,,Democrat,,,,,,,,,,
L000287,0,L000287-0,rep,1987-01-06,1989-01-03,GA,5,,Democrat,,,,,,,,,,
L000563,0,L000563-0,rep,2005-01-04,2007-01-03,IL,3,,Democrat,,,,,,,,,,
M000031,0,M000031-0,sen,1789-03-04,1791-03-03,PA,,1,Anti-Administration,,,,,,,,,,
L000565,0,L000565-0,rep,2007-01-04,2009-01-03,IA,2,,Democrat,,http://loebsack.house.gov,,,,,,,,
L000397,0,L000397-0,rep,1995-01-04,1997-01-03,CA,16,,Democrat,,,,,,,,,,
B001297,0,B001297-0,rep,2015-01-06,2017-01-03,CO,4,,Republican,,https://buck.house.gov,416 Cannon HOB; Washington DC 20515-0604,202-225-4676,202-225-5870,,416 Cannon House Office Building,,,
L000480,0,L000480-0,rep,1989-01-03,1991-01-03,NY,20,,Democrat,,,,,,,,,,
L000491,0,L000491-0,rep,1993-05-10,1995-01-03,OK,6,,Republican,,,,,,,,,,
L000569,0,L000569-0,rep,2009-01-06,2011-01-03,MO,9,,Republican,,http://luetkemeyer.house.gov,,,,,,,,
L000570,0,L000570-0,rep,2009-01-06,2011-01-03,NM,3,,Democrat,,http://lujan.house.gov,,,,,,,,
M001153,0,M001153-0,sen,2003-01-07,2005-01-03,AK,,3,Republican,appointment,http://murkowski.senate.gov/,,,,,,,,
L000562,0,L000562-0,rep,2001-10-23,2003-01-03,MA,9,,Democrat,,,,,,,,,,
M000087,0,M000087-0,rep,1993-01-05,1995-01-03,NY,14,,Democrat,,,,,,,,,,
M001158,0,M001158-0,rep,2005-01-04,2007-01-03,TX,24,,Republican,,,,,,,,,,
M000133,0,M000133-0,rep,1975-01-14,1977-01-03,MA,7,,Democrat,,,,,,,,,,
C001103,0,C001103-0,rep,2015-01-06,2017-01-03,GA,1,,Republican,,http://buddycarter.house.gov,432 Cannon HOB; Washington DC 20515-1001,202-225-5831,202-226-2269,,432 Cannon House Office Building,,,
M001163,0,M001163-0,rep,2005-03-10,2007-01-03,CA,5,,Democrat,,,,,,,,,,
M001165,0,M001165-0,rep,2007-01-04,2009-01-03,CA,22,,Republican,,http://kevinmccarthy.house.gov,,,,,,,,
M001157,0,M001157-0,rep,2005-01-04,2007-01-03,TX,10,,Republican,,,,,,,,,,
M001177,0,M001177-0,rep,2009-01-06,2011-01-03,CA,4,,Republican,,http://mcclintock.house.gov,,,,,,,,
M001169,0,M001169-0,rep,2007-01-04,2009-01-03,CT,5,,Democrat,,http://chrismurphy.house.gov,,,,,,,,
M001143,0,M001143-0,rep,2001-01-03,2003-01-03,MN,4,,Democrat,,,,,,,,,,
M000312,0,M000312-0,rep,1997-01-07,1999-01-03,MA,3,,Democrat,,,,,,,,,,
M001156,0,M001156-0,rep,2005-01-04,2007-01-03,NC,10,,Republican,,,,,,,,,,
M001180,0,M001180-0,rep,2011-01-05,2013-01-03,WV,1,,Republican,,http://mckinley.house.gov/,313 Cannon HOB; Washington DC 20515-4801,202-225-4172,202-225-7564,,313 Cannon House Office Building,,,
M001111,0,M001111-0,sen,1993-01-05,1999-01-03,WA,,3,Democrat,,,,,,,,,,
M001159,0,M001159-0,rep,2005-01-04,2007-01-03,WA,5,,Republican,,,,,,,,,,
M001166,0,M001166-0,rep,2007-01-04,2009-01-03,CA,11,,Democrat,,http://mcnerney.house.gov,,,,,,,,
M001137,0,M001137-0,rep,1997-01-07,1999-01-03,NY,6,,Democrat,,,,,,,,,,
M001160,0,M001160-0,rep,2005-01-04,2007-01-03,WI,4,,Democrat,,,,,,,,,,
M000934,0,M000934-0,rep,1997-01-07,1999-01-03,KS,1,,Republican,,,,,,,,,,
N000002,0,N000002-0,rep,1992-11-03,1993-01-03,NY,17,,Democrat,,,,,,,,,,
N000179,0,N000179-0,rep,1999-01-06,2001-01-03,CA,34,,Democrat,,,,,,,,,,
N000015,0,N000015-0,rep,1989-01-03,1991-01-03,MA,2,,Democrat,,,,,,,,,,
